wk,tr,nc,stg
44,1112199,0,1
45,1112199,1,1
46,1112199,0,1
47,1112199,0,1
48,1112199,0,1
49,1112199,1,1
50,1112199,0,1
51,1112199,0,1
52,1112199,0,1
53,1112199,2,1
54,1112199,1,1
55,1112199,1,1
56,1112199,0,1
57,1112199,0,1
58,1112199,0,1
59,1112199,0,1
60,1112199,1,1
61,1112199,0,1
62,1112199,0,1
63,1112199,0,1
64,1112199,0,1
65,1112199,0,1
66,1112199,0,1
67,1112199,1,1
68,1112199,4,1
69,1112199,32,1
70,1112199,51,1
71,1112199,16,1
72,1112199,12,1
73,1112199,3,1
74,1112199,1,1
75,1112199,0,1
76,1112199,1,1
77,1112199,0,1
78,1112199,0,1
79,1112199,0,1
80,1112199,1,1
81,1112199,0,1
82,1112199,1,1
83,1112199,0,1
84,1112199,1,1
85,1112199,1,1
86,1112199,0,1
87,1112199,1,1
88,1112199,0,1
89,1112199,0,1
90,1112199,0,1
91,1112199,0,1
92,1112199,2,1
93,1112199,1,1
94,1112199,5,1
95,1112199,0,1
96,1112199,1,1
97,1112199,0,1
98,1112199,1,1
99,1112199,0,1
100,1112199,0,1
101,1112199,0,1
102,1112199,2,1
103,1112199,4,1
104,1112199,4,1
0,1167312,0,1
1,1167312,1,1
2,1167312,0,1
3,1167312,0,1
4,1167312,0,1
5,1167312,0,1
6,1167312,0,1
7,1167312,0,1
8,1167312,0,1
9,1167312,0,1
10,1167312,0,1
11,1167312,0,1
12,1167312,0,1
13,1167312,0,1
14,1167312,0,1
15,1167312,0,1
16,1167312,0,1
17,1167312,2,1
18,1167312,1,1
19,1167312,1,1
20,1167312,0,1
21,1167312,0,1
22,1167312,0,1
23,1167312,0,1
24,1167312,0,1
25,1167312,0,1
26,1167312,0,1
27,1167312,0,1
28,1167312,0,1
29,1167312,0,1
30,1167312,1,1
31,1167312,0,1
32,1167312,1,1
33,1167312,0,1
34,1167312,0,1
35,1167312,0,1
36,1167312,0,1
37,1167312,0,1
38,1167312,0,1
39,1167312,0,1
40,1167312,0,1
41,1167312,1,1
42,1167312,1,1
43,1167312,0,1
44,1167312,1,1
45,1167312,0,1
46,1167312,0,1
47,1167312,0,1
48,1167312,1,1
49,1167312,0,1
50,1167312,1,1
51,1167312,0,1
52,1167312,0,1
53,1167312,0,1
54,1167312,0,1
55,1167312,0,1
56,1167312,0,1
57,1167312,1,1
58,1167312,2,1
59,1167312,3,1
60,1167312,2,1
61,1167312,0,1
62,1167312,0,1
63,1167312,1,1
64,1167312,0,1
65,1167312,0,1
66,1167312,0,1
67,1167312,0,1
68,1167312,0,1
69,1167312,0,1
70,1167312,0,1
71,1167312,0,1
72,1167312,0,1
73,1167312,0,1
74,1167312,1,1
75,1167312,0,1
76,1167312,0,1
77,1167312,0,1
78,1167312,1,1
79,1167312,3,1
80,1167312,1,1
81,1167312,8,1
82,1167312,2,1
83,1167312,2,1
84,1167312,10,1
85,1167312,2,1
86,1167312,1,1
87,1167312,0,1
88,1167312,0,1
89,1167312,0,1
90,1167312,0,1
91,1167312,2,1
92,1167312,0,1
93,1167312,0,1
94,1167312,0,1
95,1167312,0,1
96,1167312,1,1
97,1167312,0,1
98,1167312,0,1
99,1167312,2,1
100,1167312,11,1
101,1167312,5,1
102,1167312,2,1
103,1167312,0,1
104,1167312,0,1
0,1573655,0,1
1,1573655,1,1
2,1573655,0,1
3,1573655,1,1
4,1573655,0,1
5,1573655,0,1
6,1573655,0,1
7,1573655,0,1
8,1573655,0,1
9,1573655,1,1
10,1573655,1,1
11,1573655,0,1
12,1573655,0,1
13,1573655,0,1
14,1573655,0,1
15,1573655,0,1
16,1573655,0,1
17,1573655,0,1
18,1573655,0,1
19,1573655,0,1
20,1573655,0,1
21,1573655,0,1
22,1573655,0,1
23,1573655,0,1
24,1573655,0,1
25,1573655,1,1
26,1573655,0,1
27,1573655,1,1
28,1573655,0,1
29,1573655,0,1
30,1573655,0,1
31,1573655,0,1
32,1573655,1,1
33,1573655,1,1
34,1573655,0,1
35,1573655,0,1
36,1573655,2,1
37,1573655,0,1
38,1573655,0,1
39,1573655,1,1
40,1573655,0,1
41,1573655,0,1
42,1573655,0,1
43,1573655,0,1
44,1573655,2,1
45,1573655,1,1
46,1573655,0,1
47,1573655,0,1
48,1573655,0,1
49,1573655,1,1
50,1573655,0,1
51,1573655,0,1
52,1573655,0,1
53,1573655,0,1
54,1573655,0,1
55,1573655,0,1
56,1573655,0,1
57,1573655,0,1
58,1573655,0,1
59,1573655,0,1
60,1573655,0,1
61,1573655,0,1
62,1573655,0,1
63,1573655,0,1
64,1573655,0,1
65,1573655,1,1
66,1573655,0,1
67,1573655,0,1
68,1573655,0,1
69,1573655,1,1
70,1573655,0,1
71,1573655,0,1
72,1573655,0,1
73,1573655,1,1
74,1573655,0,1
75,1573655,0,1
76,1573655,0,1
77,1573655,1,1
78,1573655,0,1
79,1573655,0,1
80,1573655,1,1
81,1573655,0,1
82,1573655,0,1
83,1573655,0,1
84,1573655,1,1
85,1573655,0,1
86,1573655,3,1
87,1573655,13,1
88,1573655,5,1
89,1573655,3,1
90,1573655,2,1
91,1573655,0,1
92,1573655,0,1
93,1573655,0,1
94,1573655,0,1
95,1573655,0,1
96,1573655,0,1
97,1573655,0,1
98,1573655,0,1
99,1573655,1,1
