"stage","R0","R"
"None","3.125",2.85323866733034
"None","3.125",3.79979814250986
"None","3.125",3.61951196885891
"None","3.125",3.46658703477955
"None","3.125",2.60825388428338
"None","3.125",2.86985868367704
"None","3.125",3.36423446348398
"None","3.125",2.71522473479954
"None","3.125",3.31451461010094
"None","3.125",3.3869836588828
"None","3.125",2.80944482570447
"None","3.125",3.2346125050973
"None","3.125",3.36993597323376
"None","3.125",3.25227070147033
"None","3.125",4.48118216309045
"None","3.125",2.77981564899488
"None","3.125",3.10469710392627
"None","3.125",3.0286272114539
"None","3.125",2.89783147821977
"None","3.125",3.774714625379
"None","3.125",3.62981430259847
"None","3.125",2.91118523670778
"None","3.125",3.0368054418564
"None","3.125",2.70550811011304
"None","3.125",3.31468342234643
"None","3.125",2.84289340223225
"None","3.125",2.98085847004237
"None","3.125",2.75093358056433
"None","3.125",3.48342929971601
"None","3.125",3.44618847148001
"None","3.125",3.22140612908295
"None","3.125",2.80961979403364
"None","3.125",2.6234567698685
"None","3.125",3.0415057245983
"None","3.125",4.29964533960708
"None","3.125",3.1279707303532
"None","3.125",3.26401056035754
"None","3.125",3.32346520044969
"None","3.125",3.11621155936286
"None","3.125",2.93148550123404
"None","3.125",3.3184295927595
"None","3.125",2.33965024083416
"None","3.125",3.14776655885999
"None","3.125",2.69725826826544
"None","3.125",3.34344498802539
"None","3.125",3.02857621670557
"None","3.125",3.08532385560193
"None","3.125",2.94581743693416
"None","3.125",3.10180515216506
"None","3.125",3.60364393244349
"None","3.125",3.69707536781379
"None","3.125",3.12628937625141
"None","3.125",3.19970933020825
"None","3.125",3.55827530495242
"None","3.125",2.39380966481466
"None","3.125",3.14757165066052
"None","3.125",3.04384113424907
"None","3.125",2.62253262566013
"None","3.125",3.31953617054003
"None","3.125",2.56747314961546
"None","3.125",2.80730149594281
"None","3.75",3.54404137616848
"None","3.75",3.85125825410106
"None","3.75",3.78174110803503
"None","3.75",4.20363180246381
"None","3.75",4.89760322740054
"None","3.75",2.59341511695593
"None","3.75",3.63960445207446
"None","3.75",3.93986248330684
"None","3.75",3.23120871980423
"None","3.75",2.75981337060928
"None","3.75",4.25625817552051
"None","3.75",3.75511125972988
"None","3.75",3.84907752965554
"None","3.75",3.8327429311982
"None","3.75",2.73345747150658
"None","3.75",3.55153554946741
"None","3.75",3.2626655946052
"None","3.75",3.91612621451617
"None","3.75",3.68032006286095
"None","3.75",3.12552930556746
"None","3.75",4.68885676578998
"None","3.75",3.99576151241549
"None","3.75",3.86871644499656
"None","3.75",4.28667476222741
"None","3.75",4.15048399484174
"None","3.75",3.91649716939166
"None","3.75",4.31334030100208
"None","3.75",4.07532911512287
"None","3.75",3.13597776028397
"None","3.75",2.83133811903954
"None","3.75",4.12174484740654
"None","3.75",5.25816229076398
"None","3.75",3.14626816422206
"None","3.75",3.9438899097794
"None","3.75",3.25974501991795
"None","3.75",3.61495803459569
"None","3.75",3.89287759441241
"None","3.75",3.1933715672479
"None","3.75",3.74655086571891
"None","3.75",3.48438364907029
"None","3.75",3.79507725448212
"None","3.75",3.25754123533388
"None","3.75",4.22285167097037
"None","3.75",4.08653617399909
"None","3.75",4.01515596011289
"None","3.75",3.7785974096241
"None","3.75",3.45118199105567
"None","3.75",4.6743361461287
"None","3.75",4.2245222870571
"None","3.75",2.96176320918951
"None","3.75",3.25481480444703
"None","3.75",3.67346854956686
"None","3.75",3.70648459810232
"None","3.75",4.33879069665686
"None","3.75",4.55165861981766
"None","3.75",4.81832058660889
"None","3.75",4.28897312059944
"None","3.75",3.69355053053163
"None","3.75",3.62690666162259
"None","3.75",3.7397221026495
"None","3.75",4.23237890528412
"None","3.75",3.31824654359929
"None","3.75",4.4440605375817
"None","3.75",3.51364927313451
"None","3.75",3.05589076254062
"None","3.75",3.6691393897677
"None","3.75",3.23661261851363
"None","3.75",3.48000375773812
"None","3.75",4.04796284841389
"None","3.75",3.56023205866455
"None","3.75",4.34762243688742
"None","3.75",4.46266489896728
"None","3.75",3.62898278907211
"None","3.75",3.49836247643695
"None","3.75",4.57142870045779
"None","3.75",3.20457504648346
"None","3.75",4.28695786984766
"None","3.75",3.91137241914403
"None","3.75",3.87512882281559
"None","3.75",3.75863440701116
"None","3.75",3.81606365745786
"None","3.75",4.07206624768567
"None","3.75",4.17419291886829
"None","3.75",3.29951219804564
"None","3.75",4.17500487199099
"None","3.75",3.39223954565743
"None","3.75",3.91751306794908
"None","3.75",3.85683365266117
"None","3.75",3.16011228862302
"None","3.75",3.2623168630917
"None","3.75",3.17831384778082
"None","3.75",3.32120532267087
"None","3.75",3.86294095112135
"None","3.75",3.94040294402068
"None","3.75",3.02985518570287
"None","3.75",3.60085914727717
"None","3.75",3.41151371012687
"None","3.75",3.73325111378079
"None","3.75",3.26433831101398
"None","3.75",2.76572963963894
"1","2.5",1.69290948538884
"1","2.5",1.17506838477271
"1","2.5",1.49083132148728
"1","2.5",1.65489771467268
"1","2.5",1.52149746987975
"1","2.5",1.78499945728861
"1","2.5",1.74655312409557
"1","2.5",1.81927657759985
"1","2.5",1.62850554323725
"1","2.5",1.58273455372615
"1","2.5",1.62872200263505
"1","2.5",1.92108373514556
"1","2.5",1.68285460893385
"1","2.5",1.67849098519548
"1","2.5",1.63561550661034
"1","2.5",1.62643733607966
"1","2.5",1.61986794746553
"1","2.5",1.64766811369166
"1","2.5",1.72704222687853
"1","2.5",1.6374096851984
"1","2.5",1.35676897164767
"1","2.5",1.73080904602644
"1","2.5",1.71779176587729
"1","2.5",1.92676397567736
"1","2.5",1.90033792784176
"1","2.5",1.66273773379605
"1","2.5",1.64787065715055
"1","2.5",1.64292356124834
"1","2.5",1.32076378974843
"1","2.5",1.65629885168387
"1","2.5",1.69404718687179
"1","2.5",1.70121780683557
"1","2.5",1.43594425974211
"1","2.5",1.44892742651117
"1","2.5",1.61160862086338
"1","2.5",2.02278556771546
"1","2.5",1.66994614547435
"1","2.5",1.56612580538359
"1","2.5",1.68403806065095
"1","2.5",1.42260274093722
"1","2.5",1.52585100365951
"1","2.5",1.64871750056935
"1","2.5",1.58251858416094
"1","2.5",1.36992651989285
"1","2.5",1.54518072289157
"1","2.5",1.38621070049641
"1","2.5",1.39538156726105
"1","2.5",1.78921187313855
"1","2.5",1.62547026048859
"1","2.5",1.71182541540877
"1","2.5",1.4468096809681
"1","2.5",1.73217281088144
"1","2.5",1.31164314516129
"1","2.5",1.38755422088755
"1","2.5",1.63536796340808
